store,Sum of longitude,Sum of latitude
"McDonalds-Burbank,CA",-354.982514,102.562643
"McDonalds-Burney,CA",-121.65327,40.887862
"McDonalds-Buttonwillow,CA",-119.397537,35.401017
"McDonalds-Cabazon,CA",-116.81894,33.93077
"McDonalds-Calabasas,CA",-118.69826,34.14448
"McDonalds-Calexico,CA",-115.4954,32.66546
"McDonalds-California City,CA",-117.95763,35.12574
"McDonalds-Calimesa,CA",-117.057704,33.994825
"McDonalds-Camarillo,CA",-238.07889,68.436
"McDonalds-Cameron Park,CA",-120.97226,38.65796
"McDonalds-Camp Pendleton,CA",-117.391532,33.222236
"McDonalds-Canoga Park,CA",-118.58826,34.19287
"McDonalds-Capitola,CA",-121.9647,36.97446
"McDonalds-Carlsbad,CA",-117.32703,33.17969
"McDonalds-Carpinteria,CA",-119.51268,34.39645
"McDonalds-Carson,CA",-354.79097,101.52721
"McDonalds-Castro Valley,CA",-122.06359,37.68911
"McDonalds-Cathedral City,CA",-116.48264,33.78838
"McDonalds-Cerritos,CA",-118.09293,33.86399
"McDonalds-Chico,CA",-121.834699,39.738504
"McDonalds-Chino,CA",-117.72249,34.00067
"McDonalds-Chowchilla,CA",-120.256134,37.126001
"McDonalds-Chula Vista,CA",-351.215425,97.876715
"McDonalds-Citrus Heights,CA",-242.61127,77.34345
"McDonalds-City of Bell,CA",-118.20213,33.97953
"McDonalds-City of Industry,CA",-235.863558,67.993472
"McDonalds-Claremont,CA",-117.71905,34.08027
"McDonalds-Clearlake,CA",-122.6176,38.93166
"McDonalds-Cloverdale,CA",-123.01414,38.78573
"McDonalds-Clovis,CA",-119.7188,36.808718
"McDonalds-Coachella,CA",-232.379423,67.410015
"McDonalds-Coalinga,CA",-120.250662,36.25413
"McDonalds-Colfax,CA",-120.950933,39.094137
"McDonalds-Colton,CA",-117.326339,34.06742
"McDonalds-Compton,CA",-236.43096,67.78472
"McDonalds-Concord,CA",-244.10065,75.9419
"McDonalds-Corcoran,CA",-119.57243,36.0979
"McDonalds-Corona,CA",-235.162503,67.716192
"McDonalds-Coronado,CA",-117.189264,32.70449
"McDonalds-Costa Mesa,CA",-235.77165,67.37424
"McDonalds-Cudahy,CA",-118.186212,33.961734
"McDonalds-Daly City,CA",-489.827533,150.743179
"McDonalds-Danville,CA",-121.9217,37.79837
"McDonalds-Davis,CA",-121.75757,38.56061
"McDonalds-Del Mar,CA",-117.249216,32.980525
"McDonalds-Desert Hot Springs,CA",-116.501193,33.94443
"McDonalds-Diamond Bar,CA",-117.8446,33.99995
"McDonalds-Discovery Bay,CA",-121.61944,37.88956
"McDonalds-Downey,CA",-708.757706,203.622462
"McDonalds-Eagle Rock,CA",-118.18803,34.13726
"McDonalds-East Palo Alto,CA",-244.27736,74.93131
"McDonalds-El Cajon,CA",-116.967399,32.806853
"McDonalds-El Centro,CA",-231.126836,65.589293
"McDonalds-El Cerrito,CA",-122.32067,37.92822
"McDonalds-El Dorado Hills,CA",-121.06831,38.64984
"McDonalds-El Monte,CA",-118.0535,34.07915
"McDonalds-El Paso De Robles,CA",-120.68626,35.64267
"McDonalds-El Segundo,CA",-118.39614,33.91634
"McDonalds-El Toro,CA",-117.707529,33.615783
"McDonalds-Elk Grove,CA",-364.287329,115.30312
"McDonalds-Encino,CA",-118.47517,34.15508
"McDonalds-Escondido,CA",-117.0968,33.11709
"McDonalds-Eureka,CA",-124.153259,40.804592
"McDonalds-Exeter,CA",-119.154134,36.29727
"McDonalds-Fair Oaks,CA",-242.49871,77.3275
"McDonalds-Fairfield,CA",-488.2207,153.03517
"McDonalds-Farmersville,CA",-119.214089,36.32657
"McDonalds-Fillmore,CA",-118.933063,34.376434
"McDonalds-Firebaugh,CA",-120.626364,36.638261
"McDonalds-Folsom,CA",-121.12363,38.65463
"McDonalds-Fontana,CA",-469.795232,136.497756
"McDonalds-Foothill Farms,CA",-121.34195,38.6868
"McDonalds-Fort Tejon,CA",-118.94827,34.98458
"McDonalds-Foster City,CA",-122.27148,37.56305
"McDonalds-Fremont,CA",-609.84269,187.66991
"McDonalds-Fresno,CA",-1676.993722,514.894319
"McDonalds-Ft Bragg,CA",-123.80734,39.42387
"McDonalds-Fullerton,CA",-235.88367,67.75118
"McDonalds-Gardena,CA",-591.491629,169.46704
"McDonalds-Gilroy,CA",-121.56298,37.02363
"McDonalds-Glendale,CA",-591.27146,170.78085
"McDonalds-Goleta,CA",-119.87328,34.42707
"McDonalds-Gonzales,CA",-121.43698,36.51384
"McDonalds-Granada Hills,CA",-118.50191,34.28546
"McDonalds-Grover City,CA",-120.612354,35.120971
"McDonalds-Gustine,CA",-121.00015,37.25988
"McDonalds-Hacienda Heights,CA",-117.97308,33.98057
"McDonalds-Hanford,CA",-239.295598,72.655034
"McDonalds-Harbor City,CA",-118.30804,33.78933
"McDonalds-Hayward,CA",-366.29786,112.97049
"McDonalds-Healdsburg,CA",-122.86865,38.60557
"McDonalds-Hemet,CA",-234.002299,67.47664
"McDonalds-Hermosa Beach,CA",-118.3927,33.86324
"McDonalds-Hesperia,CA",-234.63326,68.84628
"McDonalds-Hilmar,CA",-120.84997,37.40368
"McDonalds-Hollister,CA",-121.4015,36.85869
"McDonalds-Hollywood,CA",-473.354413,136.390697
"McDonalds-Huntington Beach,CA",-235.977925,67.408871
"McDonalds-Huntington Park,CA",-354.667572,101.941029
"McDonalds-Inglewood,CA",-118.34451,33.94559
"McDonalds-Irvine,CA",-353.409375,101.007109
"McDonalds-Irwindale,CA",-117.93445,34.10725
"McDonalds-Kerman,CA",-120.061068,36.735098
"McDonalds-Kettleman City,CA",-119.959478,35.98695
"McDonalds-King City,CA",-121.137408,36.203125
"McDonalds-Kingsburg,CA",-119.563512,36.517848
"McDonalds-La Habra,CA",-117.93756,33.93925
"McDonalds-Lake Arrowhead,CA",-117.19001,34.24996
"McDonalds-Lake Elsinore,CA",-117.3406,33.69041
"McDonalds-Lake Forest,CA",-117.70229,33.65506
"McDonalds-Lake Isabella,CA",-118.47383,35.62682
"McDonalds-Lakewood,CA",-590.68483,169.23569
"McDonalds-Lancaster,CA",-590.76755,173.41074
"McDonalds-Lemoore,CA",-239.567327,72.614136
"McDonalds-Lincoln,CA",-121.29298,38.88895
"McDonalds-Lindsay,CA",-119.104883,36.204221
"McDonalds-Littlerock,CA",-117.97872,34.52126
"McDonalds-Livermore,CA",-243.46717,75.41003
"McDonalds-Lodi,CA",-363.97174,114.36029
"McDonalds-Lone Pine,CA",-118.06175,36.602022
"McDonalds-Long Beach,CA",-709.00448,202.85711
"McDonalds-Los Angeles,CA",-5442.110206,1566.909165
"McDonalds-Los Banos,CA",-120.83522,37.05516
"McDonalds-Lost Hills,CA",-119.66098,35.61572
"McDonalds-Lynwood,CA",-118.18269,33.93368
"McDonalds-Madera,CA",-240.120966,73.924579
"McDonalds-Malibu,CA",-118.67479,34.03844
"McDonalds-Manhattan Beach,CA",-236.77321,67.76017
"McDonalds-Manteca,CA",-242.469339,75.62368
"McDonalds-Martinez,CA",-122.13436,38.01834
"McDonalds-Maywood,CA",-118.185694,33.987056
"McDonalds-McFarland,CA",-119.228564,35.674244
"McDonalds-Menlo Park,CA",-122.18307,37.45377
"McDonalds-Merced,CA",-361.432004,111.909106
"McDonalds-Mill Valley,CA",-122.51612,37.89037
"McDonalds-Millbrae,CA",-122.39811,37.60665
"McDonalds-Milpitas,CA",-487.587669,149.669802
"McDonalds-Mission Viejo,CA",-117.658179,33.56354
"McDonalds-Modesto,CA",-725.96983,225.93551
"McDonalds-Mojave,CA",-118.174498,35.055543
"McDonalds-Monrovia,CA",-118.009,34.14013
"McDonalds-Montclair,CA",-117.6946,34.08516
"McDonalds-Montebello,CA",-118.07985,34.03849
"McDonalds-Monterey Park,CA",-118.144274,34.039839
"McDonalds-Monterey,CA",-121.88859,36.59989
"McDonalds-Moorpark,CA",-118.841709,34.29604
"McDonalds-Moreno Valley,CA",-117.205525,33.891854
"McDonalds-Morgan Hill,CA",-243.29647,74.26169
"McDonalds-Morro Bay,CA",-120.842728,35.36769
"McDonalds-Mountain View,CA",-122.09325,37.41956
"McDonalds-Murrieta,CA",-117.198269,33.555507
"McDonalds-Napa,CA",-244.57396,76.60074
"McDonalds-Needles,CA",-114.60976,34.83989
"McDonalds-Newbury Park,CA",-118.94074,34.18827
"McDonalds-Newport Beach,CA",-353.711997,100.888353
"McDonalds-Nipomo,CA",-120.483209,35.0378
"McDonalds-North Highlands,CA",-242.76612,77.34485
"McDonalds-North Hills,CA",-118.46718,34.24929
"McDonalds-North Hollywood,CA",-355.14642,102.53997
"McDonalds-Northridge,CA",-237.03875,68.4854
"McDonalds-Norwalk,CA",-118.10149,33.9173
"McDonalds-Novato,CA",-122.532417,38.061503
"McDonalds-Oakdale,CA",-120.83565,37.77106
"McDonalds-Oakhurst,CA",-119.654429,37.331894
"McDonalds-Oakland,CA",-1099.990753,340.028467
"McDonalds-Oceanside,CA",-352.051751,99.616527
"McDonalds-Oildale,CA",-119.02125,35.40751
"McDonalds-Ojai,CA",-119.289137,34.423748
"McDonalds-Ontario,CA",-352.836928,102.137369
"McDonalds-Orange,CA",-353.56075,101.39415
"McDonalds-Orcutt,CA",-120.4169,34.8649
"McDonalds-Orosi,CA",-119.286734,36.543417
"McDonalds-Oroville,CA",-121.570858,39.49791
"McDonalds-Oxnard,CA",-595.85602,171.0179
"McDonalds-Pacific Grove,CA",-121.92467,36.60757
"McDonalds-Pacifica,CA",-244.99403,75.24665
"McDonalds-Palm Desert,CA",-116.388059,33.80181
"McDonalds-Palm Springs,CA",-233.009109,67.616903
"McDonalds-Palmdale,CA",-590.655019,172.95114
"McDonalds-Palo Alto,CA",-122.13912,37.42128
"McDonalds-Panorama City,CA",-118.45041,34.23587
"McDonalds-Paradise,CA",-121.603049,39.76456
"McDonalds-Paramount,CA",-118.1695,33.88923
"McDonalds-Pasadena,CA",-236.21437,68.29591
"McDonalds-Paso Robles,CA",-120.695016,35.588882
"McDonalds-Petaluma,CA",-245.25008,76.48512
"McDonalds-Phelan,CA",-117.592369,34.44451
"McDonalds-Pico Rivera,CA",-118.09805,33.98387
"McDonalds-Pismo Beach,CA",-120.62859,35.13691
"McDonalds-Pittsburg,CA",-121.88783,38.00806
"McDonalds-Placentia,CA",-117.86443,33.88758
"McDonalds-Placerville,CA",-120.82675,38.70554
"McDonalds-Pleasant Hill,CA",-122.05993,37.9536
"McDonalds-Pleasanton,CA",-243.80364,75.39517
"McDonalds-Pomona,CA",-235.53329,68.13412
"McDonalds-Porterville,CA",-119.01245,36.06501
"McDonalds-Rancho Cordova,CA",-485.07749,154.39683
"McDonalds-Rancho Cucamonga,CA",-117.56006,34.10675
"McDonalds-Rancho Mirage,CA",-116.388572,33.801424
"McDonalds-Redding,CA",-367.111144,121.771211
"McDonalds-Redondo Beach,CA",-118.38693,33.84402
"McDonalds-Redwood City,CA",-244.45901,74.96194
"McDonalds-Richmond,CA",-122.3474,37.9358
"McDonalds-Rio Linda,CA",-121.45657,38.68375
"McDonalds-Rio Vista,CA",-121.69022,38.16093
"McDonalds-Ripon,CA",-121.138674,37.754149
"McDonalds-Riverbank,CA",-120.95884,37.73297
"McDonalds-Riverside,CA",-587.048709,169.741798
"McDonalds-Rocklin,CA",-242.479702,77.613079
"McDonalds-Rohnert Park,CA",-122.67761,38.33593
"McDonalds-Rosamond,CA",-118.176367,34.864329
"McDonalds-Roseville,CA",-485.0797,155.03845
"McDonalds-Sacramento,CA",-2307.561651,732.294816
"McDonalds-Salinas,CA",-851.48556,256.89204
"McDonalds-San Bernardino,CA",-351.876352,102.257881
"McDonalds-San Buenaventura,CA",-238.519434,68.452695
"McDonalds-San Diego,CA",-2460.165682,687.989644
"McDonalds-San Dimas,CA",-117.81995,34.10659
"McDonalds-San Francisco,CA",-1958.70358,604.35495
"McDonalds-San Gabriel,CA",-118.07281,34.1233
"McDonalds-San Jacinto,CA",-116.957191,33.783901
"McDonalds-San Jose,CA",-2681.203626,820.725227
"McDonalds-San Leandro,CA",-244.31153,75.41202
"McDonalds-San Luis Obispo,CA",-120.677221,35.263277
"McDonalds-San Marcos,CA",-234.29825,66.27501
"McDonalds-San Mateo,CA",-244.6436,75.08743
"McDonalds-San Pedro,CA",-118.3088,33.75175
"McDonalds-San Rafael,CA",-245.08207,75.97177
"McDonalds-San Ramon,CA",-121.97711,37.77483
"McDonalds-Sand City,CA",-121.84374,36.619
"McDonalds-Sanger,CA",-119.573456,36.706646
"McDonalds-Santa Ana,CA",-707.270183,202.449134
"McDonalds-Santa Barbara,CA",-478.937287,137.676034
"McDonalds-Santa Clara,CA",-487.83055,149.45754
"McDonalds-Santa Clarita,CA",-355.501199,103.21948
"McDonalds-Santa Cruz,CA",-244.06113,73.95046
"McDonalds-Santa Fe Springs,CA",-236.077996,67.843485
"McDonalds-Santa Maria,CA",-120.43578,34.929395
"McDonalds-Santa Monica,CA",-355.46526,102.06378
"McDonalds-Santa Paula,CA",-119.070985,34.346455
"McDonalds-Santa Rosa,CA",-613.61163,192.25495
"McDonalds-Saratoga,CA",-121.996131,37.292104
"McDonalds-Scotts Valley,CA",-122.03203,37.04733
"McDonalds-Seal Beach,CA",-118.104866,33.745614
"McDonalds-Sebastopol,CA",-122.83938,38.40859
"McDonalds-Shafter,CA",-119.27857,35.499717
"McDonalds-Shasta Lake City,CA",-120.195778,41.646064
"McDonalds-Signal Hill,CA",-118.16782,33.80418
"McDonalds-Soledad,CA",-121.321827,36.418189
"McDonalds-Sonoma,CA",-122.47655,38.30296
"McDonalds-South El Monte,CA",-118.04023,34.03615
"McDonalds-South Gate,CA",-118.19767,33.95351
"McDonalds-South Lake Tahoe,CA",-119.955998,38.949387
"McDonalds-South San Francisco,CA",-367.29067,112.94746
"McDonalds-Stockton,CA",-1334.3814,417.79257
"McDonalds-Studio City,CA",-118.39211,34.14314
"McDonalds-Suisun City,CA",-122.02011,38.24486
"McDonalds-Sunnyvale,CA",-488.10663,149.51304
"McDonalds-Sylmar,CA",-118.47795,34.30331
"McDonalds-Taft,CA",-119.485039,35.15465
"McDonalds-Tahoe City,CA",-120.137421,39.17418
"McDonalds-Tarzana,CA",-118.54526,34.17247
"McDonalds-Torrance,CA",-355.00866,101.47301
"McDonalds-Truckee,CA",-120.209376,39.320826
"McDonalds-Tulare,CA",-477.343943,144.81606
"McDonalds-Turlock,CA",-120.88071,37.5197
"McDonalds-Ukiah,CA",-123.21148,39.16785
"McDonalds-Union City,CA",-122.0169,37.58771
"McDonalds-Upland,CA",-117.68045,34.10676
"McDonalds-Vacaville,CA",-243.91988,76.73827
"McDonalds-Valencia,CA",-118.54205,34.42267
"McDonalds-Vallejo,CA",-488.93919,152.46462
"McDonalds-Van Nuys,CA",-236.92271,68.38688
"McDonalds-Venice,CA",-118.45094,33.99303
"McDonalds-Ventura,CA",-238.450849,68.540841
"McDonalds-Vernon,CA",-118.21989,34.0084
"McDonalds-Victorville,CA",-469.375098,137.932263
"McDonalds-Visalia,CA",-596.60549,181.629014
"McDonalds-Walnut Creek,CA",-122.06306,37.89827
"McDonalds-Walnut,CA",-117.83591,34.02791
"McDonalds-Wasco,CA",-119.349452,35.601692
"McDonalds-Watsonville,CA",-121.77435,36.91689
"McDonalds-West Altadena,CA",-118.15985,34.1825
"McDonalds-West Carson,CA",-118.2911,33.81049
"McDonalds-West Covina,CA",-353.75026,102.17525
"McDonalds-West Los Angeles,CA",-236.8962,68.07223
"McDonalds-West Sacramento,CA",-364.62681,115.75234
"McDonalds-Westlake Village,CA",-118.82758,34.16369
"McDonalds-Westley,CA",-121.26607,37.53994
"McDonalds-Westminster,CA",-118.00533,33.75906
"McDonalds-Wildomar,CA",-117.24377,33.59648
"McDonalds-Willows,CA",-122.211951,39.522209
"McDonalds-Wilmington,CA",-118.25976,33.79127
"McDonalds-Woodland Hills,CA",-237.2403,68.3421
"McDonalds-Woodland,CA",-243.52702,77.35578
"McDonalds-Yuba City,CA",-121.6441,39.14661
