store,Sum of longitude,Sum of latitude
"McDonalds PlayPlace-Anaheim,CA",-589.710298,169.159103
"McDonalds PlayPlace-Anderson,CA",-122.293786,40.455695
"McDonalds PlayPlace-Antelope,CA",-121.36459,38.71229
"McDonalds PlayPlace-Antioch,CA",-243.61768,75.97082
"McDonalds PlayPlace-Apple Valley,CA",-234.467129,68.998352
"McDonalds PlayPlace-Arcata,CA",-124.083452,40.902927
"McDonalds PlayPlace-Arleta,CA",-118.437863,34.233209
"McDonalds PlayPlace-Arroyo Grande,CA",-120.586357,35.120622
"McDonalds PlayPlace-Artesia,CA",-118.08247,33.87181
"McDonalds PlayPlace-Atascadero,CA",-120.665588,35.484146
"McDonalds PlayPlace-Atwater,CA",-120.59659,37.360649
"McDonalds PlayPlace-Avocado Heights,CA",-117.990474,34.03589
"McDonalds PlayPlace-Azusa,CA",-117.88631,34.12854
"McDonalds PlayPlace-Bakersfield,CA",-118.96722,35.39716
"McDonalds PlayPlace-Baldwin Park,CA",-235.92732,68.15699
"McDonalds PlayPlace-Banning,CA",-116.90025,33.92537
"McDonalds PlayPlace-Barstow,CA",-117.08735,34.85513
"McDonalds PlayPlace-Bay Point,CA",-121.94202,38.02126
"McDonalds PlayPlace-Beaumont,CA",-116.9773,33.92805
"McDonalds PlayPlace-Bellflower,CA",-118.14253,33.88723
"McDonalds PlayPlace-Belmont,CA",-122.28178,37.52506
"McDonalds PlayPlace-Bishop,CA",-118.395189,37.365534
"McDonalds PlayPlace-Blythe,CA",-114.60565,33.60871
"McDonalds PlayPlace-Bonita,CA",-117.03417,32.66046
"McDonalds PlayPlace-Brawley,CA",-115.54191,32.97876
"McDonalds PlayPlace-Brea,CA",-235.75841,67.825117
"McDonalds PlayPlace-Brentwood,CA",-121.69631,37.94752
"McDonalds PlayPlace-Buellton,CA",-120.18869,34.61304
"McDonalds PlayPlace-Buena Park,CA",-236.009013,67.733289
"McDonalds PlayPlace-Burbank,CA",-236.64196,68.35537
"McDonalds PlayPlace-Calexico,CA",-115.498464,32.672431
"McDonalds PlayPlace-Camarillo,CA",-119.03881,34.23444
"McDonalds PlayPlace-Camp Pendleton South,CA",-117.35998,33.19782
"McDonalds PlayPlace-Canoga Park,CA",-118.6067,34.21949
